expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2022-12-30,0,14.3,14.45,114.0,0,100.956,0.997,0.002,-0.035,0.0,129.61
2022-12-30,0,13.3,13.5,115.0,11,94.212,0.997,0.002,-0.035,0.001,129.61
2022-12-30,0,12.3,12.5,116.0,0,87.488,0.997,0.002,-0.035,0.001,129.61
2022-12-30,0,11.3,11.55,117.0,20,80.778,0.996,0.002,-0.034,0.001,129.61
2022-12-30,0,10.35,10.45,118.0,49,74.079,0.996,0.003,-0.034,0.001,129.61
2022-12-30,0,9.3,9.5,119.0,14,67.384,0.996,0.003,-0.033,0.001,129.61
2022-12-30,0,8.35,8.5,120.0,80,60.683,0.995,0.004,-0.033,0.001,129.61
2022-12-30,0,7.35,7.5,121.0,113,53.971,0.995,0.005,-0.032,0.001,129.61
2022-12-30,0,6.3,6.45,122.0,226,47.236,0.994,0.006,-0.032,0.001,129.61
2022-12-30,0,5.3,5.45,123.0,44,40.46,0.993,0.009,-0.031,0.001,129.61
2022-12-30,0,4.3,4.45,124.0,169,33.623,0.992,0.012,-0.03,0.001,129.61
2022-12-30,0,3.35,3.5,125.0,1518,26.691,0.99,0.018,-0.029,0.001,129.61
2022-12-30,0,2.36,2.44,126.0,860,23.189,0.97,0.053,-0.064,0.004,129.61
2022-12-30,0,1.37,1.52,127.0,5678,18.951,0.908,0.158,-0.128,0.009,129.61
2022-12-30,0,0.59,0.61,128.0,34749,17.021,0.658,0.39,-0.255,0.02,129.61
2022-12-30,0,0.13,0.14,129.0,57756,16.471,0.25,0.349,-0.213,0.018,129.61
2022-12-30,0,0.03,0.04,130.0,46322,19.87,0.072,0.125,-0.111,0.008,129.61
2022-12-30,0,0.01,0.02,131.0,14448,24.63,0.029,0.048,-0.066,0.004,129.61
2022-12-30,0,0.0,0.01,132.0,20730,27.577,0.01,0.017,-0.029,0.001,129.61
2022-12-30,0,0.0,0.01,133.0,8489,34.024,0.008,0.012,-0.031,0.001,129.61
2022-12-30,0,0.0,0.01,134.0,3626,40.287,0.007,0.009,-0.032,0.001,129.61
2022-12-30,0,0.0,0.01,135.0,1606,46.398,0.006,0.007,-0.033,0.001,129.61
2022-12-30,0,0.0,0.01,136.0,1099,52.378,0.005,0.005,-0.033,0.001,129.61
2022-12-30,0,0.0,0.01,137.0,539,58.241,0.005,0.004,-0.034,0.001,129.61
2022-12-30,0,0.0,0.01,138.0,630,64.001,0.005,0.004,-0.035,0.001,129.61
2022-12-30,0,0.0,0.01,139.0,76,69.666,0.004,0.003,-0.035,0.001,129.61
2022-12-30,0,0.0,0.01,140.0,583,75.243,0.004,0.003,-0.036,0.001,129.61
2022-12-30,0,0.0,0.01,141.0,35,80.738,0.004,0.002,-0.036,0.001,129.61
2022-12-30,0,0.0,0.01,142.0,104,86.156,0.003,0.002,-0.037,0.001,129.61
2022-12-30,0,0.0,0.01,143.0,24,91.502,0.003,0.002,-0.037,0.001,129.61
2023-01-06,7,14.55,14.75,114.0,0,49.062,0.957,0.01,-0.064,0.017,129.61
2023-01-06,7,13.6,13.75,115.0,5,47.736,0.949,0.012,-0.07,0.019,129.61
2023-01-06,7,12.6,12.85,116.0,2,46.592,0.939,0.014,-0.078,0.022,129.61
2023-01-06,7,11.7,11.85,117.0,1,45.121,0.928,0.016,-0.084,0.025,129.61
2023-01-06,7,10.75,10.9,118.0,19,44.068,0.913,0.019,-0.094,0.029,129.61
2023-01-06,7,9.8,10.0,119.0,63,42.929,0.896,0.023,-0.103,0.033,129.61
2023-01-06,7,8.9,9.05,120.0,506,41.925,0.875,0.026,-0.113,0.038,129.61
2023-01-06,7,8.0,8.2,121.0,128,40.941,0.85,0.031,-0.124,0.043,129.61
2023-01-06,7,7.15,7.3,122.0,49,40.098,0.82,0.035,-0.136,0.049,129.61
2023-01-06,7,6.35,6.45,123.0,172,39.274,0.786,0.04,-0.147,0.054,129.61
2023-01-06,7,5.55,5.65,124.0,237,38.385,0.747,0.045,-0.157,0.06,129.61
2023-01-06,7,4.8,4.85,125.0,482,37.521,0.702,0.05,-0.165,0.064,129.61
2023-01-06,7,4.1,4.15,126.0,244,36.671,0.652,0.054,-0.171,0.069,129.61
2023-01-06,7,3.4,3.5,127.0,622,35.896,0.597,0.058,-0.175,0.072,129.61
2023-01-06,7,2.84,2.86,128.0,6859,35.052,0.539,0.061,-0.175,0.074,129.61
2023-01-06,7,2.29,2.32,129.0,7301,34.364,0.477,0.062,-0.171,0.074,129.61
2023-01-06,7,1.81,1.83,130.0,14242,33.622,0.413,0.062,-0.163,0.072,129.61
2023-01-06,7,1.4,1.42,131.0,2837,32.891,0.35,0.06,-0.152,0.069,129.61
2023-01-06,7,1.05,1.07,132.0,3960,32.248,0.289,0.057,-0.137,0.064,129.61
2023-01-06,7,0.77,0.79,133.0,4182,31.67,0.232,0.052,-0.12,0.057,129.61
2023-01-06,7,0.56,0.57,134.0,3239,31.269,0.182,0.045,-0.102,0.049,129.61
2023-01-06,7,0.4,0.41,135.0,5698,31.043,0.14,0.039,-0.085,0.041,129.61
2023-01-06,7,0.28,0.29,136.0,3572,30.868,0.106,0.032,-0.07,0.034,129.61
2023-01-06,7,0.19,0.2,137.0,1585,30.662,0.077,0.025,-0.055,0.027,129.61
2023-01-06,7,0.14,0.15,138.0,2575,31.16,0.059,0.02,-0.045,0.022,129.61
2023-01-06,7,0.1,0.11,139.0,5854,31.507,0.044,0.016,-0.036,0.017,129.61
2023-01-06,7,0.07,0.08,140.0,2211,31.808,0.033,0.012,-0.029,0.014,129.61
2023-01-06,7,0.05,0.06,141.0,318,32.273,0.025,0.01,-0.023,0.011,129.61
2023-01-06,7,0.04,0.05,142.0,1320,33.273,0.02,0.008,-0.02,0.009,129.61
2023-01-06,7,0.03,0.04,143.0,232,33.981,0.016,0.006,-0.016,0.007,129.61
2023-01-13,14,15.0,15.3,114.0,0,47.312,0.906,0.014,-0.081,0.043,129.61
2023-01-13,14,14.15,14.3,115.0,0,46.487,0.893,0.015,-0.086,0.047,129.61
2023-01-13,14,13.25,13.4,116.0,0,45.834,0.878,0.017,-0.092,0.052,129.61
2023-01-13,14,12.35,12.55,117.0,6,45.108,0.862,0.019,-0.098,0.057,129.61
2023-01-13,14,11.5,11.65,118.0,55,44.462,0.843,0.021,-0.104,0.062,129.61
2023-01-13,14,10.65,10.8,119.0,5,43.85,0.823,0.023,-0.111,0.067,129.61
2023-01-13,14,9.85,9.95,120.0,74,43.238,0.8,0.025,-0.117,0.072,129.61
2023-01-13,14,9.05,9.1,121.0,18,42.663,0.775,0.027,-0.123,0.077,129.61
2023-01-13,14,8.25,8.35,122.0,167,42.093,0.747,0.029,-0.128,0.082,129.61
2023-01-13,14,7.5,7.6,123.0,9,41.559,0.718,0.032,-0.133,0.087,129.61
2023-01-13,14,6.8,6.9,124.0,94,41.031,0.686,0.034,-0.137,0.091,129.61
2023-01-13,14,6.1,6.2,125.0,93,40.485,0.652,0.035,-0.14,0.095,129.61
2023-01-13,14,5.45,5.55,126.0,67,39.902,0.616,0.037,-0.142,0.098,129.61
2023-01-13,14,4.85,4.9,127.0,504,39.414,0.578,0.039,-0.143,0.101,129.61
2023-01-13,14,4.25,4.3,128.0,1749,38.704,0.539,0.04,-0.142,0.102,129.61
2023-01-13,14,3.7,3.75,129.0,520,38.157,0.499,0.041,-0.14,0.103,129.61
2023-01-13,14,3.2,3.25,130.0,1733,37.644,0.458,0.041,-0.137,0.102,129.61
2023-01-13,14,2.76,2.78,131.0,608,37.171,0.416,0.041,-0.133,0.1,129.61
2023-01-13,14,2.34,2.36,132.0,558,36.583,0.375,0.04,-0.127,0.098,129.61
2023-01-13,14,1.96,1.98,133.0,969,36.081,0.334,0.039,-0.12,0.094,129.61
2023-01-13,14,1.63,1.65,134.0,679,35.569,0.294,0.038,-0.112,0.089,129.61
2023-01-13,14,1.34,1.36,135.0,902,35.12,0.256,0.036,-0.103,0.083,129.61
2023-01-13,14,1.09,1.11,136.0,304,34.769,0.221,0.033,-0.094,0.076,129.61
2023-01-13,14,0.88,0.9,137.0,890,34.431,0.189,0.03,-0.084,0.07,129.61
2023-01-13,14,0.71,0.72,138.0,350,34.152,0.16,0.028,-0.075,0.062,129.61
2023-01-13,14,0.57,0.58,139.0,253,34.004,0.134,0.025,-0.066,0.056,129.61
2023-01-13,14,0.45,0.47,140.0,1667,33.793,0.111,0.022,-0.058,0.049,129.61
2023-01-13,14,0.36,0.37,141.0,727,33.793,0.093,0.019,-0.05,0.043,129.61
2023-01-13,14,0.29,0.3,142.0,264,33.905,0.077,0.017,-0.044,0.037,129.61
2023-01-13,14,0.23,0.24,143.0,85,33.944,0.064,0.014,-0.038,0.032,129.61
2023-01-20,21,28.7,29.0,100.0,37,55.538,0.973,0.004,-0.035,0.019,129.61
2023-01-20,21,23.85,24.05,105.0,6,51.322,0.954,0.006,-0.046,0.03,129.61
2023-01-20,21,19.1,19.3,110.0,57,47.108,0.923,0.01,-0.06,0.045,129.61
2023-01-20,21,14.55,14.75,115.0,70,43.724,0.866,0.016,-0.079,0.067,129.61
2023-01-20,21,12.0,12.15,118.0,18,42.1,0.815,0.02,-0.091,0.083,129.61
2023-01-20,21,11.2,11.35,119.0,35,41.594,0.795,0.022,-0.095,0.089,129.61
2023-01-20,21,10.4,10.55,120.0,471,41.145,0.773,0.023,-0.099,0.094,129.61
2023-01-20,21,9.65,9.8,121.0,15,40.677,0.749,0.025,-0.103,0.1,129.61
2023-01-20,21,8.9,9.05,122.0,7,40.179,0.724,0.027,-0.106,0.104,129.61
2023-01-20,21,8.15,8.3,123.0,13,39.731,0.697,0.028,-0.109,0.109,129.61
2023-01-20,21,7.45,7.6,124.0,22,39.268,0.669,0.03,-0.112,0.113,129.61
2023-01-20,21,6.8,6.9,125.0,11035,38.993,0.638,0.031,-0.114,0.117,129.61
2023-01-20,21,6.15,6.25,126.0,61,38.464,0.607,0.032,-0.115,0.12,129.61
2023-01-20,21,5.55,5.65,127.0,110,37.889,0.575,0.033,-0.115,0.122,129.61
2023-01-20,21,5.0,5.05,128.0,565,37.461,0.542,0.034,-0.114,0.124,129.61
2023-01-20,21,4.45,4.5,129.0,616,37.038,0.507,0.034,-0.113,0.125,129.61
2023-01-20,21,3.9,3.95,130.0,3704,36.262,0.472,0.035,-0.11,0.124,129.61
2023-01-20,21,3.45,3.5,131.0,260,36.011,0.437,0.035,-0.108,0.123,129.61
2023-01-20,21,3.0,3.05,132.0,713,35.474,0.401,0.035,-0.104,0.121,129.61
2023-01-20,21,2.62,2.63,133.0,541,35.016,0.366,0.034,-0.1,0.118,129.61
2023-01-20,21,2.25,2.26,134.0,1097,34.599,0.331,0.034,-0.095,0.113,129.61
2023-01-20,21,1.92,1.93,135.0,4212,34.186,0.297,0.032,-0.089,0.108,129.61
2023-01-20,21,1.63,1.64,136.0,597,33.835,0.265,0.031,-0.084,0.102,129.61
2023-01-20,21,1.37,1.39,137.0,523,33.518,0.234,0.029,-0.077,0.096,129.61
2023-01-20,21,1.15,1.16,138.0,707,33.204,0.205,0.027,-0.071,0.089,129.61
2023-01-20,21,0.96,0.97,139.0,499,32.975,0.179,0.025,-0.065,0.082,129.61
2023-01-20,21,0.8,0.81,140.0,5530,32.816,0.156,0.023,-0.059,0.075,129.61
2023-01-20,21,0.66,0.67,141.0,318,32.63,0.134,0.021,-0.053,0.067,129.61
2023-01-20,21,0.54,0.55,142.0,418,32.442,0.114,0.019,-0.047,0.06,129.61
2023-01-20,21,0.45,0.46,143.0,407,32.476,0.098,0.017,-0.042,0.054,129.61
2023-01-27,28,15.95,16.2,114.0,0,44.31,0.852,0.014,-0.075,0.083,129.61
2023-01-27,28,15.05,15.35,115.0,2,43.837,0.838,0.016,-0.078,0.088,129.61
2023-01-27,28,14.3,14.55,116.0,0,43.322,0.822,0.017,-0.082,0.094,129.61
2023-01-27,28,13.45,13.7,117.0,0,42.861,0.805,0.018,-0.085,0.099,129.61
2023-01-27,28,12.65,12.9,118.0,0,42.388,0.787,0.019,-0.088,0.104,129.61
2023-01-27,28,11.85,12.1,119.0,0,41.94,0.768,0.02,-0.09,0.11,129.61
2023-01-27,28,11.1,11.35,120.0,9,41.503,0.748,0.021,-0.093,0.115,129.61
2023-01-27,28,10.35,10.6,121.0,0,41.026,0.726,0.023,-0.095,0.12,129.61
2023-01-27,28,9.6,9.9,122.0,1,40.663,0.703,0.024,-0.098,0.124,129.61
2023-01-27,28,8.9,9.15,123.0,2,40.161,0.68,0.025,-0.099,0.129,129.61
2023-01-27,28,8.25,8.45,124.0,9,39.788,0.655,0.026,-0.101,0.133,129.61
2023-01-27,28,7.55,7.8,125.0,59,39.231,0.629,0.027,-0.102,0.136,129.61
2023-01-27,28,6.95,7.2,126.0,7,38.855,0.602,0.028,-0.102,0.139,129.61
2023-01-27,28,6.35,6.5,127.0,6,38.465,0.574,0.028,-0.103,0.141,129.61
2023-01-27,28,5.8,5.95,128.0,86,38.055,0.545,0.029,-0.102,0.143,129.61
2023-01-27,28,5.25,5.4,129.0,80,37.716,0.516,0.029,-0.102,0.143,129.61
2023-01-27,28,4.75,4.9,130.0,413,37.42,0.486,0.03,-0.1,0.143,129.61
2023-01-27,28,4.25,4.4,131.0,58,36.919,0.456,0.03,-0.098,0.143,129.61
2023-01-27,28,3.8,3.95,132.0,117,36.562,0.426,0.03,-0.096,0.141,129.61
2023-01-27,28,3.4,3.5,133.0,30,36.172,0.396,0.03,-0.093,0.139,129.61
2023-01-27,28,3.0,3.1,134.0,118,35.747,0.366,0.029,-0.09,0.135,129.61
2023-01-27,28,2.64,2.72,135.0,124,35.323,0.336,0.029,-0.086,0.131,129.61
2023-01-27,28,2.31,2.39,136.0,51,34.981,0.307,0.028,-0.082,0.126,129.61
2023-01-27,28,2.01,2.08,137.0,9,34.612,0.279,0.027,-0.077,0.121,129.61
2023-01-27,28,1.74,1.81,138.0,98,34.306,0.252,0.026,-0.072,0.115,129.61
2023-01-27,28,1.5,1.57,139.0,37,34.036,0.227,0.025,-0.068,0.108,129.61
2023-01-27,28,1.29,1.34,140.0,256,33.723,0.202,0.023,-0.063,0.101,129.61
2023-01-27,28,1.11,1.16,141.0,49,33.582,0.181,0.022,-0.058,0.095,129.61
2023-01-27,28,0.94,0.99,142.0,30,33.327,0.16,0.02,-0.053,0.087,129.61
2023-01-27,28,0.8,0.85,143.0,49,33.196,0.141,0.019,-0.049,0.08,129.61
2023-02-03,35,16.4,16.85,114.0,0,45.702,0.824,0.014,-0.076,0.104,129.61
2023-02-03,35,15.6,16.05,115.0,2,45.166,0.81,0.015,-0.079,0.109,129.61
2023-02-03,35,14.8,15.2,116.0,0,44.824,0.794,0.016,-0.081,0.114,129.61
2023-02-03,35,13.95,14.45,117.0,0,44.31,0.778,0.017,-0.083,0.119,129.61
2023-02-03,35,13.25,13.65,118.0,0,43.959,0.761,0.018,-0.086,0.124,129.61
2023-02-03,35,12.5,13.2,119.0,0,43.553,0.743,0.018,-0.088,0.129,129.61
2023-02-03,35,11.65,12.3,120.0,4,43.166,0.725,0.019,-0.09,0.134,129.61
2023-02-03,35,11.05,11.6,121.0,0,43.115,0.704,0.02,-0.092,0.139,129.61
2023-02-03,35,10.35,10.85,122.0,3,42.383,0.685,0.021,-0.093,0.142,129.61
2023-02-03,35,9.8,10.15,123.0,1,42.046,0.663,0.022,-0.095,0.146,129.61
2023-02-03,35,9.15,9.45,124.0,0,41.567,0.641,0.022,-0.095,0.15,129.61
2023-02-03,35,8.45,8.8,125.0,0,41.114,0.619,0.023,-0.096,0.153,129.61
2023-02-03,35,7.9,8.2,126.0,4,41.163,0.595,0.023,-0.097,0.155,129.61
2023-02-03,35,7.3,7.65,127.0,0,40.419,0.571,0.024,-0.096,0.157,129.61
2023-02-03,35,6.85,7.05,128.0,18,40.478,0.547,0.024,-0.097,0.159,129.61
